	Ritregla	ex_1_standardized	ex_2_standardized	ex_3_standardized	ex_1_original	ex_2_original	ex_3_original	ex_1_byt5-22-09	ex_2_byt5-22-09	ex_3_byt5-22-09	ex_1_byt5-23-12	ex_2_byt5-23-12	ex_3_byt5-23-12	ex_1_byt5-24-03	ex_2_byt5-24-03	ex_3_byt5-24-03	ex_1_greynir	ex_2_greynir	ex_3_greynir	ex_1_google	ex_2_google	ex_3_google	ex_1_word	ex_2_word	ex_3_word	ex_1_puki	ex_2_puki	ex_3_puki	ex_1_skrambi	ex_2_skrambi	ex_3_skrambi	ex_1_ice-gpt-sw3	ex_2_ice-gpt-sw3	ex_3_ice-gpt-sw3
112	7.3.2	Hann hefur svarað vel til hugmynda manna um útlit og atgervi Egils Skallagrímssonar.	Mig rámar nú eitthvað í að hafa lesið um frævun í líffræði fyrir mörgum árum.	Karlkyns æxlunarfæri blóms nefnist frævill.	Hann hefur svarað vel til hugmynda manna um útlit og atgerfi Egils Skallagrímssonar.	Mig rámar nú eitthvað í að hafa lesið um fræfun í líffræði fyrir mörgum árum.	Karlkyns æxlunarfæri blóms nefnist fræfill.	Hann hefur svarað vel til hugmynda manna um útlit og atgerfi Egils Skallagrímssonar.	Mig rámar nú eitthvað í að hafa lesið um fræfun í líffræði fyrir mörgum árum.	Karlkyns æxlunarfæri blóms nefnist fræfill.	Hann hefur svarað vel til hugmynda manna um útlit og atgerfi Egils Skallagrímssonar.	Mig rámar nú eitthvað í að hafa lesið um fræfun í líffræði fyrir mörgum árum.	Karlkyns æxlunarfæri blóms nefnist fræfill.	Hann hefur svarað vel til hugmynda manna um útlit og atgerfi Egils Skallagrímssonar.	Mig rámar nú eitthvað í að hafa lesið um fræfun í líffræði fyrir mörgum árum.	Karlkyns æxlunarfæri blóms nefnist fræfill.	Hann hefur svarað vel til hugmynda manna um útlit og atgerfi Egils Skallagrímssonar.	Mig rámar nú eitthvað í að hafa lesið um fræsun í líffræði fyrir mörgum árum.	Karlkyns æxlunarfæri blóms nefnist fræfill.	Hann hefur svarað vel til hugmynda manna um útlit og atgervi Egils Skallagrímssonar.	Mig rámar nú eitthvað í að hafa lesið um frævun í líffræði fyrir mörgum árum.	Karlkyns æxlunarfæri blóms nefnist frævill.	Hann hefur svarað vel til hugmynda manna um útlit og atgervi Egils Skallagrímssonar.	Mig rámar nú eitthvað í að hafa lesið um færu í líffræði fyrir mörgum árum.	Karlkyns æxlunarfæri blóms nefnist fræ fíll.	Hann hefur svarað vel til hugmynda manna um útlit og argerfi Egils Skallagrímssonar.	Mig rámar nú eitthvað í að hafa lesið um frævun í líffræði fyrir mörgum árum.	Karlkyns æxlunarfæri blóms nefnist fræfill.	Hann hefur svarað vel til hugmynda manna um útlit og atgervi Egils Skallagrímssonar.	Mig rámar nú eitthvað í að hafa lesið um frævun í líffræði fyrir mörgum árum.	Karlkyns æxlunarfæri blóms nefnist frævill.	Hann hefur svarað vel til hugmynda manna um útlit og atgervi Egils Skallagrímssonar.	Mig rámar nú eitthvað í að hafa lesið um fræfun í líffræði fyrir mörgum árum.	Karlkyns æxlunarfæri blóms nefnist fræfill.
113	7.3.3	Margir hafa reynt að ná á toppinn en fáum hefur tekist það.	Ótrúlegur viðsnúningur staðreynd en jafnframt með ólíkindum að horfa upp á hrun KR.	Og ég er þegar byrjuð að skrifa þriðju bókina um það og hún hefst sannarlega ekki á morði.	Margir hava reynt að ná á toppinn en fáum hefur tekist það.	Ótrúlegur viðsnúningur staðreynd en jafnframt með ólíkindum að horva upp á hrun KR.	Og ég er þegar byrjuð að skriva þriðju bókina um það og hún hefst sannarlega ekki á morði.	Margir hafa reynt að ná á toppinn en fáum hefur tekist það.	Ótrúlegur viðsnúningur er staðreynd en jafnframt með ólíkindum að horfa upp á hrun KR.	Ég er þegar byrjuð að skrifa þriðju bókina um það og hún hefst sannarlega ekki á morði.	Margir hafa reynt að ná á toppinn en fáum hefur tekist það.	Ótrúlegur viðsnúningur en jafnframt með ólíkindum að horfa upp á hrun KR.	Ég er þegar byrjuð að skrifa þriðju bókina um það og hún hefst sannarlega ekki á morði.	Margir hafa reynt að ná á toppinn en fáum hefur tekist það.	Ótrúlegur viðsnúningur staðreynd en jafnframt með ólíkindum að horfa upp á hrun KR.	Og ég er þegar byrjuð að skrifa þriðju bókina um það og hún hefst sannarlega ekki á morði.	Margir hafa reynt að ná á toppinn en fáum hefur tekist það.	Ótrúlegur viðsnúningur staðreynd en jafnframt með ólíkindum að horfa upp á hrun KR.	Og ég er þegar byrjuð að skrifa þriðju bókina um það og hún hefst sannarlega ekki á morði.	Margir hafa reynt að ná á toppinn en fáum hefur tekist það.	Ótrúlegur viðsnúningur staðreynd en jafnframt með ólíkindum að horfa upp á hrun KR.	Og ég er þegar byrjuð að skriva þriðju bókina um það og hún hefst sannarlega ekki á morði.	Margir hafa reynt að ná á toppinn en fáum hefur tekist það.	Ótrúlegur viðsnúningur staðreynd en jafnframt með ólíkindum að horfa upp á hrun KR.	Og ég er þegar byrjuð að skrifa þriðju bókina um það og hún hefst sannarlega ekki á morði.	Margir hafa reynt að ná á toppinn en fáum hefur tekist það.	Ótrúlegur viðsnúningur staðreynd en jafnframt með ólíkindum að horfa upp á hrun KR.	Og ég er þegar byrjuð að skriða þriðju bókina um það og hún hefst sannarlega ekki á morði.	Margir hafa reynt að ná á toppinn en fáum hefur tekist það.	Ótrúlegur viðsnúningur staðreynd en jafnframt með ólíkindum að horfa upp á hrun KR.	Og ég er þegar byrjuð að skrifa þriðju bókina um það og hún hefst sannarlega ekki á morði.	Margir hafa reynt að ná á toppinn en fáum hefur tekist það.	Ótrúlegur viðsnúningur staðreynd en jafnframt með ólíkindum að horfa upp á hrun KR.	Og ég er þegar byrjuð að skrifa þriðju bókina um það og hún hefst sannarlega ekki á morði.
114	7.3.5	Þarna sérðu, hvort tónlist göfgar ekki.	Á námskeiðinu var rætt ítarlega um hjartastopp og endurlífgun.	Lifandi er skógurinn að laufga sig á ný.	Þarna sérðu, hvort tónlist gövgar ekki.	Á námskeiðinu var rætt ítarlega um hjartastopp og endurlívgun.	Lifandi er skógurinn að lauvga sig á ný.	Þarna sérðu, hvort tónlist göngur ekki.	Á námskeiðinu var rætt ítarlega um hjartastopp og endurlífgun.	Lifandi er skógurinn að lauga sig á ný.	Þarna sérðu hvort tónlist gövgar ekki.	Á námskeiðinu var rætt ítarlega um hjartastopp og endurvígslu.	Lifandi er skógurinn að laugva sig á ný.	Þarna sérðu hvort tónlist gövgar ekki.	Á námskeiðinu var rætt ítarlega um hjartastopp og endurlífgun.	Lifandi er skógurinn að lauga sig á ný.	Þarna sérðu, hvort tónlist göfgar ekki.	Á námskeiðinu var rætt ítarlega um hjartastopp og endurlífgun.	Lifandi er skógurinn að lauga sig á ný.	Þarna sérðu, hvort tónlist göfgar ekki.	Á námskeiðinu var rætt ítarlega um hjartastopp og endurlífgun.	Lifandi er skógurinn að lauga sig á ný.	Þarna sérðu, hvort tónlist goggar ekki.	Á námskeiðinu var rætt ítarlega um hjartastopp og endurlífgun.	Lifandi er skógurinn að lauga sig á ný.	Þarna sérðu, hvort tónlist göfgar ekki.	Á námskeiðinu var rætt ítarlega um hjartastopp og endurlífgun.	Lifandi er skógurinn að laufga sig á ný.	Þarna sérðu, hvort tónlist göfgar ekki.	Á námskeiðinu var rætt ítarlega um hjartastopp og endurlífgun.	Lifandi er skógurinn að lauga sig á ný.	Þarna sérðu, hvort tónlist göslar ekki.	Á námskeiðinu var ítarlega rætt um hjartastopp og endurlífgun.	Lifandi er skógurinn að lauvga sig á ný.
115	7.5 (a)	Ég efast um að hann afli alls þessa fjármagns sjálfur.	Íslenska heitið á írsku borginni Dublin er Dyflinn.	Mér fannst tafl mikil skemmtun, meiri en spil.	Ég efast um að hann abli alls þessa fjármagns sjálfur.	Íslenska heitið á írsku borginni Dublin er Dyblinn.	Mér fannst tabl mikil skemmtun, meiri en spil.	Ég efast um að hann afli alls þessa fjármagns sjálfur.	Íslenska heitið á írsku borginni Dublin er Dyblinn.	Mér fannst tabl mikil skemmtun, meiri en spil.	Ég efast um að hann afli alls þessa fjármagns sjálfur.	Íslenska heitið á írsku borginni Dublin er Dyblinn.	Mér fannst tabl mikil skemmtun, meiri en spil.	Ég efast um að hann afli alls þessa fjármagns sjálfur.	Íslenska heitið á írsku borginni Dublin er Dyblinn.	Mér fannst babl mikil skemmtun, meiri en spil.	Ég efast um að hann afli alls þessa fjármagns sjálfur.	Íslenska heitið á írsku borginni Dublin er Dyflinn.	Mér fannst tal mikil skemmtun, meiri en spil.	Ég efast um að hann abli alls þessa fjármagns sjálfur.	Íslenska heitið á þýsku borginni Dublin er Dyflinn.	Mér fannst tabl mikil skemmtun, meiri en spil.	Ég efast um að hann bali alls þessa fjármagns sjálfur.	Íslenska heitið á írsku borginni Dublin er Dyflinn.	Mér fannst tab mikil skemmtun, meiri en spil.	Ég efast um að hann aðli alls þessa fjármagns sjálfur.	Íslenska heitið á írsku borginni Dublin er Dyblinn.	Mér fannst tabú mikil skemmtun, meiri en spil.	Ég efast um að hann afli alls þessa fjármagns sjálfur.	Íslenska heitið á írsku borginni Duflin er Dyflinn.	Mér fannst tafl mikil skemmtun, meiri en spil.	Ég efast um að hann abli alls þessa fjármagns sjálfur.	Íslenska heitið á írsku borginni Dublin er Dyblinn.	Mér fannst Tabl mikið skemmtun, meira en spil.
116	7.5 (b)	Efsta lagið er rifflað svo að maður detti síður á hausinn.	Svartur trufflusveppur vex villtur víðs vegar í Evrópu.	Kl. 15 sýna bjóða nemendurnir upp á vöfflur með rjóma í kaffitímanum.	Efsta lagið er riflað svo að maður detti síður á hausinn.	Svartur truflusveppur vex villtur víðs vegar í Evrópu.	Kl. 15 sýna bjóða nemendurnir upp á vöflur með rjóma í kaffitímanum.	Efsta lagið er riflað svo að maður detti síður á hausinn.	Svartur truflusveppur vex villtur víðs vegar í Evrópu.	Kl. 15 sýna bjóða nemendurnir upp á vöflur með rjóma í kaffitímanum.	Efsta lagið er riflað svo að maður detti síður á hausinn.	Svartur truflusveppur vex villtur víðs vegar í Evrópu.	Kl. 15 sýna bjóða nemendurnir upp á vöflur með rjóma í kaffitímanum.	Efsta lagið er riflað svo að maður detti síður á hausinn.	Svartur truflunarsveppur vex villtur víðs vegar í Evrópu.	Kl. 15 sýna nemendurnir upp á vöflur með rjóma í kaffitímanum.	Efsta lagið er rifjað svo að maður detti síður á hausinn.	Svartur trufflusveppur vex villtur víðs vegar í Evrópu.	Kl. 15 sýna bjóða nemendurnir upp á vöfflur með rjóma í kaffitímanum.	Efsta lagið er riflað svo að maður detti síður á hausinn.	Svartur truflusveppur vex villtur víðs vegar í Evrópu.	Kl. 15 sýna bjóða nemendurnir upp á vöfflur með rjóma í kaffitímanum.	Efsta lagið er röflað svo að maður detti síður á hausinn.	Svartur truflusveppur vex villtur víðs vegar í Evrópu.	Kl. 15 sýna bjóða nemendurnir upp á vöfflur með rjóma í kaffitímanum.	Efsta lagið er riðlað svo að maður detti síður á hausinn.	Svartur truflusveppur vex villtur víðs vegar í Evrópu.	Kl. 15 sýna bjóða nemendurnir upp á föflur með rjóma í kaffitímanum.	Efsta lagið er rifflað svo að maður detti síður á hausinn.	Svartur truflusveppur vex villtur víðs vegar í Evrópu.	Kl. 15 sýna bjóða nemendurnir upp á vöflur með rjóma í kaffitímanum.	Efsta lagið er riflað svo að maður detti síður á hausinn.	Svartur truflusveppur vex villtur víða í Evrópu.	Kl. 15 sýna nemendur bjóða upp á vöflur með rjóma í kaffitímanum.
117	7.6	Mamma hans er að rifna úr stolti.	Hann þvertekur fyrir að lög séu brotin með samningum útgerðarinnar við áhöfn Sólbaks.	Sem dæmi um myndir, sem ég hef tekið með vélinni, má nefna þessar myndir.	Mamma hans er að ribbna úr stolti.	Hann þvertekur fyrir að lög séu brotin með samningum útgerðarinnar við áhövn Sólbaks.	Sem dæmi um myndir, sem ég hef tekið með vélinni, má nebna þessar myndir.	Mamma hans er að ribbna úr stolti.	Hann þvertekur fyrir að lög séu brotin með samningum útgerðarinnar við áhöfn Sólbaks.	Sem dæmi um myndir, sem ég hef tekið með vélinni, má nefna þessar myndir.	Mamma hans er að ribbna úr stolti.	Hann þvertekur fyrir að lög séu brotin með samningum útgerðarinnar við áhöfn Sólbaks.	Sem dæmi um myndir, sem ég hef tekið með vélinni, má nefna þessar myndir.	Mamma hans er að ribbna úr stolti.	Hann þvertekur fyrir að lög séu brotin með samningum útgerðarinnar við áhöfn Sólbaks.	Sem dæmi um myndir, sem ég hef tekið með vélinni, má nefna þessar myndir.	Mamma hans er að rifna úr stolti.	Hann þvertekur fyrir að lög séu brotin með samningum útgerðarinnar við áhöfn Sólbaks.	Sem dæmi um myndir, sem ég hef tekið með vélinni, má nefna þessar myndir.	Mamma hans er að rifna úr stolti.	Hún þvertekur fyrir að lög séu brotin með samningum útgerðarinnar við áhöfn Sólbaks.	Sem dæmi um myndir, sem ég hef tekið með vélinni, má nefna þessar myndir.	Mamma hans er að rabba úr stolti.	Hann þvertekur fyrir að lög séu brotin með samningum útgerðarinnar við áhöfn Sólbaks.	Sem dæmi um myndir, sem ég hef tekið með vélinni, má nefna þessar myndir.	Mamma hans er að ribbna úr stolti.	Hann þvertekur fyrir að lög séu brotin með samningum útgerðarinnar við áhöfn Sólbaks.	Sem dæmi um myndir, sem ég hef tekið með vélinni, má nebba þessar myndir.	Mamma hans er að rimbna úr stolti.	Hann þvertekur fyrir að lög séu brotin með samningum útgerðarinnar við áhöfn Stólbaks.	Sem dæmi um myndir, sem ég hef tekið með vélinni, má nefna þessar myndir.	Mamma hans er að ribbna úr stolti.	Hann þvertekur fyrir að lög séu brotin með samningum útgerðarinnar við áhöfn Sólbaks.	Sem dæmi um myndir sem ég hef tekið með vélinni má nefna þessar myndir.
118	8.2.1	Krakkarnir slógu köttinn úr tunnunni.	Valsarar lágu í sókn í síðari hálfleik.	Það er ekki fallegt að ljúga.	Krakkarnir slóu köttinn úr tunnunni.	Valsarar láu í sókn í síðari hálfleik.	Það er ekki fallegt að ljúa.	Krakkarnir slógu köttinn úr tunnunni.	Valsarar lágu í sókn í síðari hálfleik.	Það er ekki fallegt að ljúa.	Krakkarnir slógu köttinn úr tunnunni.	Valsarar lágu í sókn í síðari hálfleik.	Það er ekki fallegt að ljúga.	Krakkarnir slógu köttinn úr tunnunni.	Valsarar lágu í sókn í síðari hálfleik.	Það er ekki fallegt að ljúga.	Krakkarnir slógu köttinn úr tunnunni.	Valsarar lágu í sókn í síðari hálfleik.	Það er ekki fallegt að ljúga.	Krakkarnir slógu köttinn úr tunnunni.	Valsarar lágu í sókn í síðari hálfleik.	Það er ekki fallegt að ljúga.	Krakkarnir sólu köttinn úr tunnunni.	Valsaðrar láum í sókn í síðari hálfleik.	Það er ekki fallegt að ljáa.	Krakkarnir lóu köttinn úr tunnunni.	Valsarar bláu í sókn í síðari hálfleik.	Það er ekki fallegt að hjúa.	Krakkarnir slógu köttinn úr tunnunni.	falsarar lágu í sókn í síðari hálfleik.	Það er ekki fallegt að ljúka.	Krakkarnir slóu köttinn úr tunnunni.	Valsarar lágu í sókn í síðari hálfleik.	Það er ekki fallegt að ljúa.
119	8.2.2	Beyging ýmissa sagna er óregluleg.	Gluggagægir er tíundi jólasveinninn.	Það er mikilvægt að teygja vel eftir löng hlaup.	Beying ýmissa sagna er óregluleg.	Gluggagæjir er tíundi jólasveinninn.	Það er mikilvægt að teyja vel eftir löng hlaup.	Beyging ýmissa sagna er óregluleg.	Gluggagæjir er tíundi jólasveinninn.	Það er mikilvægt að teygja vel eftir löng hlaup.	Beyging ýmissa sagna er óregluleg.	Gluggagæjir er tíundi jólasveinninn.	Það er mikilvægt að teygja vel eftir löng hlaup.	Beyging ýmissa sagna er óregluleg.	Gluggagæjir er tíundi jólasveinninn.	Það er mikilvægt að teygja vel eftir löng hlaup.	Beyging ýmissa sagna er óregluleg.	Gluggagægir er tíundi jólasveinninn.	Það er mikilvægt að teygja vel eftir löng hlaup.	Beyging ýmissa sagna er óregluleg.	Gluggagægir er tíundi jólasveinninn.	Það er mikilvægt að teygja vel eftir löng hlaup.	Beyging ýmissa sagna er óregluleg.	Gluggagægir er tíundi jólasveinninn.	Það er mikilvægt að teygja vel eftir löng hlaup.	Beyging ýmissa sagna er óregluleg.	Gluggagægir er tíundi jólasveinninn.	Það er mikilvægt að deyja vel eftir löng hlaup.	Beyging ýmissa sagna er óregluleg.	Gluggagægir er tíundi jólasveinninn.	Það er mikilvægt að teygja vel eftir löng hlaup.	Beying ýmissa sagna er óregluleg.	Gluggagæir er tíundi jólasveinninn.	Það er mikilvægt að teyja vel eftir löng hlaup.
120	8.3	Þetta er nú bara gegndarlaus græðgi.	Hann sigldi út um höfin blá í sautján ár.	Það rigndi mikið í vor.	Þetta er nú bara gengdarlaus græðgi.	Hann silgdi út um höfin blá í sautján ár.	Það ringdi mikið í vor.	Þetta er nú bara gegndarlaus græðgi.	Hann sigldi út um höfin blá í sautján ár.	Það ringdi mikið í vor.	Þetta er nú bara gengdarlaus græðgi.	Hann sigldi út um höfin blá í sautján ár.	Það hringdi mikið í vor.	Þetta er nú bara gegndarlaus græðgi.	Hann sigldi út um höfin blá í sautján ár.	Það rigndi mikið í vor.	Þetta er nú bara gegndarlaus græðgi.	Hann sigldi út um höfin blá í sautján ár.	Það rigndi mikið í vor.	Þetta er nú bara gegndarlaus græðgi.	Hann sigldi út um höfin blá í sautján ár.	Það rigndi mikið í vor.	Þetta er nú bara gengdarlaus græðgi.	Hann sigldi út um höfin blá í sautján ár.	Það rigndi mikið í vor.	Þetta er nú bara gengdarlaus græðgi.	Hann sigldi út um höfin blá í sautján ár.	Það hringdi mikið í vor.	Þetta er nú bara gegndarlaus græðgi.	Hann sigldi út um höfin blá í sautján ár.	Það rigndi mikið í vor.	Þetta er nú bara gengdarlaus græðgi.	Hann silgdi út um höfin blá í sautján ár.	Það rigndi mikið í vor.
121	8.4.1	Ég gæti sagst hafa bara fengið mér einn hafraklatta en það væri lygi.	Hið lága hrapar enn neðar þegar það leikur trúð í undirheimum.	Vatn í sundlaugum hér á Íslandi er nokkuð heitt og þá er átt við sundlaugarvatnið sem fólk syndir í.	Ég gæti sagst hafa bara fengið mér einn hafraklatta en það væri lyi.	Hið láa hrapar enn neðar þegar það leikur trúð í undirheimum.	Vatn í sundlauum hér á Íslandi er nokkuð heitt og þá er átt við sundlaugarvatnið sem fólk syndir í.	Ég gæti sagst hafa bara fengið mér einn hafraklatta en það væri lyf.	Hið láa hrapar enn neðar þegar það leikur trúð í undirheimum.	Vatn í sundlaugum hér á Íslandi er nokkuð heitt og þá er átt við sundlaugarvatnið sem fólk syndir í.	Ég gæti sagst hafa bara fengið mér einn hafraklatta en það væri lygi.	Hið láa hrapar enn neðar þegar það leikur trúð í undirheimum.	Vatn í sundlaugum hér á Íslandi er nokkuð heitt og þá er átt við sundlaugarvatnið sem fólk syndir í.	Ég gæti sagst hafa bara fengið mér einn hafraklatta en það væri lygi.	Hið láa hrapar enn neðar þegar það leikur trúð í undirheimum.	Vatn í sundlaugum hér á Íslandi er nokkuð heitt og þá er átt við sundlaugarvatnið sem fólk syndir í.	Ég gæti sagst hafa bara fengið mér einn hafraklatta en það væri lygi.	Hið háa hrapar enn neðar þegar það leikur trúð í undirheimum.	Vatn í sundlaugum hér á Íslandi er nokkuð heitt og þá er átt við sundlaugarvatnið sem fólk syndir í.	Ég gæti sagst hafa bara fengið mér einn hafraklatta en það væri lyi.	Hið lága hrapar enn neðar þegar það leikur trúð í undirheimum.	Vatn í sundlauum hér á Íslandi er nokkuð heitt og þá er átt við sundlaugar vatnið sem fólk syndir í.	Ég gæti sagst hafa bara fengið mér einn hafraklatta en það væri lyfi.	Hið láa hrapar enn neðar þegar það leikur trúð í undirheimum.	Vatn í sundlaugum hér á Íslandi er nokkuð heitt og þá er átt við sundlaugarvatnið sem fólk syndir í.	Ég gæti sagst hafa bara fengið mér einn hafraklatta en það væri lái.	Hið fáa hrapar enn neðar þegar það leikur trúð í undirheimum.	Vatn í sundlaugum hér á Íslandi er nokkuð heitt og þá er átt við sundlaugarvatnið sem fólk syndir í.	Ég gæti sagst hafa bara fengið mér einn hafraklatta en það væri lygi.	Hið láa hrapar enn neðar þegar það leikur trúð í undirheimum.	Vatn í sundlaugum hér á Íslandi er nokkuð heitt og þá er átt við sundlaugarvatnið sem fólk syndir í.	Ég gæti sagst hafa bara fengið mér einn hafraklatta en það væri lygi.	Hið lága hrapar enn neðar þegar það leikur trúð í undirheimum.	Vatn í sundlaugum hér á Íslandi er nokkuð heitt og þá er átt við sundlaugarvatnið sem fólk syndir í.
122	8.4.2	Hún mátti taka hann með en hann var þá á ábyrgð hennar.	Sá sem var nógu gamall til að geta tekið svo kunnuglega til orða um Sturlu hefur varla stundað miklar skriftir eftir miðja 14. öld.	Þegar almenningur tilkynnir um ólöglegar vefsíður til ábendingalínu í sínu landi liggur vandinn oft utan landsteinanna.	Hún mátti taka hann með en hann var þá á ábyrð hennar.	Sá sem var nógu gamall til að geta tekið svo kunnulega til orða um Sturlu hefur varla stundað miklar skriftir eftir miðja 14. öld.	Þegar almenningur tilkynnir um ólölegar vefsíður til ábendingalínu í sínu landi liggur vandinn oft utan landsteinanna.	Hún mátti taka hann með en hann var þá á ábyrgð hennar.	Sá sem var nógu gamall til að geta tekið svo kunnuglega til orða um Sturlu hefur varla stundað miklar skriftir eftir miðja 14. öld.	Þegar almenningur tilkynnir um ólöglegar vefsíður til ábendingalínu í sínu landi liggur vandinn oft utan landsteinanna.	Hún mátti taka hann með en hann var þá á ábyrgð hennar.	Sá sem var nógu gamall til að geta tekið svo kunnulega til orða um Sturlu hefur varla stundað miklar skriftir eftir miðja 14. öld.	Þegar almenningur tilkynnir um ólöglegar vefsíður til ábendingalínu í sínu landi liggur vandinn oft utan landsteinanna.	Hún mátti taka hann með en hann var þá á ábyrgð hennar.	Sá sem var nógu gamall til að geta tekið svo kunnulega til orða um Sturlu hefur varla stundað miklar skriftir eftir miðja 14. öld.	Þegar almenningur tilkynnir um ólöglegar vefsíður til ábendingalínu í sínu landi liggur vandinn oft utan landsteinanna.	Hún mátti taka hann með en hann var þá á ábyrgð hennar.	Sá sem var nógu gamall til að geta tekið svo kunnuglega til orða um Sturlu hefur varla stundað miklar skriftir eftir miðja 14. öld.	Þegar almenningur tilkynnir um ólöglegar vefsíður til ábendingalínu í sínu landi liggur vandinn oft utan landsteinanna.	Hún mátti taka hann með en hann var þá á ábyrð hennar.	Sá sem var nógu gamall til að geta tekið svo kunnuglega til orða um Sturlu hefur varla stundað miklar skriftir eftir miðja 14. öld.	Þegar almenningur tilkynnir um ólölegar vefsíður til ábendingalínu í sínu landi liggur vandinn oft utan landsteinanna.	Hún mátti taka hann með en hann var þá á áburð hennar.	Sá sem var nógu gamall til að geta tekið svo kunnuglega til orða um Sturlu hefur varla stundað miklar skriftir eftir miðja 14. öld.	Þegar almenningur tilkynnir um ólöglegar vefsíður til ábendingalínu í sínu landi liggur vandinn oft utan landsteinanna.	Hún mátti taka hann með en hann var þá á áburð hennar.	Sá sem var nógu gamall til að geta tekið svo kunnuglega til orða um Sturlu hefur varla stundað miklar skriftir eftir miðja 14. öld.	Þegar almenningur tilkynnir um ólalegar vefsíður til ábendingalínu í sínu landi liggur vandinn oft utan landsteinanna.	Hún mátti taka hann með en hann var þá á ábyrgð hennar.	Sá sem var nógu gamall til að geta tekið svo kunnuglega til orða um Sturlu hefur varla stundað miklar skriftir eftir miðja 14. öld.	Þegar almenningur tilkynnir um ólöglegar vefsíður til ábendingalínu í sínu landi liggur vandinn oft utan landsteinanna.	Hún mátti taka hann með en hann var þá á ábyrð hennar.	Sá sem var nógu gamall til að geta tekið svo kunnulega til orða um Sturlu hefur varla stundað miklar skriftir eftir miðja 14. öld.	Þegar almenningur tilkynnir um ólöglegar vefsíður til ábendingalínu í sínu landi liggur vandinn oft utan landsteinanna.
123	8.5.1	Hún hélt að þetta magn af hafraklöttum dygði en svo kom annað á daginn.	Hvað ef við leigjum hótel fyrir partý?	Ég segi ekki að sigur Marðar hafi komið mér á óvart.	Hún hélt að þetta magn af hafraklöttum dyði en svo kom annað á daginn.	Hvað ef við leium hótel fyrir partý?	Ég seji ekki að sigur Marðar hafi komið mér á óvart.	Hún hélt að þetta magn af hafraklöttum dyði en svo kom annað á daginn.	Hvað ef við leigjum hótel fyrir partý?	Ég segi ekki að sigur Marðar hafi komið mér á óvart.	Hún hélt að þetta magn af hafraklöttum dygði en svo kom annað á daginn.	Hvað ef við leigum hótel fyrir partý?	Ég segi ekki að sigur Marðar hafi komið mér á óvart.	Hún hélt að þetta magn af hafraklöttum dygði en svo kom annað á daginn.	Hvað ef við leigum hótel fyrir partý?	Ég segi ekki að sigur Marðar hafi komið mér á óvart.	Hún hélt að þetta magn af hafraklöttum eyði en svo kom annað á daginn.	Hvað ef við leikum hótel fyrir partý?	Ég segi ekki að sigur Marðar hafi komið mér á óvart.	Hún hélt að þetta magn af hafraklöttum daði en svo kom annað á daginn.	Hvað ef við leitum hótel fyrir partý?	Ég segi ekki að sigur Marðar hafi komið mér á óvart.	Hún hélt að þetta magn af hafra löttum dýið en svo kom annað á daginn.	Hvað ef við leifum hótel fyrir parti?	Ég sei ekki að sigur Marðar hafi komið mér á óvart.	Hún hélt að þetta magn af hafraklöttum byði en svo kom annað á daginn.	Hvað ef við bleium hótel fyrir partý?	Ég seðji ekki að sigur Marðar hafi komið mér á óvart.	Hún hélt að þetta magn af hafraklöttum dygði en svo kom annað á daginn.	Hvað ef við leiðum hótel fyrir partý?	Ég setji ekki að sigur Marðar hafi komið mér á óvart.	Hún hélt að þetta magn af hafraklöttum dygði en svo kom annað í ljós.	Hvað ef við leigjum hótel fyrir partý?	Ég segi ekki að sigur Markar hafi komið mér á óvart.
